Transaction_date;Product;Price;Payment_Type;Name;City;State;Country;Account_Created;Last_Login;Latitude;Longitude
1/11/09 14:56;Product1;1200;Visa;Nicole;Aardal;Sogn og Fjordane;Norway;1/5/09 5:51;1/31/09 4:21;61.55;6.35
1/22/09 12:56;Product1;1200;Visa;Laleh;Aasgaardstrand;Vestfold;Norway;1/20/09 13:13;2/25/09 12:03;59.3488889;10.4675
1/20/09 5:50;Product1;1200;Visa;Jessica;Abbey Town;England;United Kingdom;1/20/09 4:23;1/20/09 7:46;54.8333333;-3.2833333
1/19/09 11:12;Product1;1200;Visa;Melissa;Aberdeen;Scotland;United Kingdom;8/27/08 8:22;1/20/09 0:35;57.1333333;-2.1
1/2/09 5:33;Product1;1200;Visa;Mike;Aberdeen;Scotland;United Kingdom;10/18/04 4:53;2/16/09 11:12;57.1333333;-2.1
1/17/09 9:49;Product1;1200;Diners;Kathrin;Abu Dhabi;Abu Zaby;United Arab Emirates;2/27/08 20:02;1/30/09 8:45;24.4666667;54.3666667
1/28/09 13:07;Product1;1200;Amex;BALA;Accokeek                    ;MD;United States;11/29/07 5:56;1/29/09 4:40;38.6675;-77.02861
1/8/09 9:43;Product1;1200;Visa;Kasey;Aix-en-Provence;Provence-Alpes-Cote d'Azur;France;1/5/09 9:05;2/18/09 8:38;43.5333333;5.4333333
1/10/09 21:35;Product1;1200;Mastercard;Sharon;Ajax;Ontario;Canada;8/7/08 6:17;2/3/09 3:42;43.85;-79.0166667
1/12/09 6:40;Product1;1200;Visa;Dez;Al 'Adliyah;Al Manamah;Bahrain;1/10/09 12:50;1/15/09 4:46;26.2172222;50.5405556
1/9/09 5:15;Product1;1200;Visa;Roza;Alcobendas;Madrid;Spain;9/9/08 9:08;2/26/09 14:24;40.5333333;-3.6333333
1/25/09 8:32;Product1;1200;Visa;L;Alcona;Ontario;Canada;9/17/07 17:41;1/27/09 19:53;50.0666667;-91.75
1/17/09 9:12;Product1;1200;Amex;Sylvia;Alexandria                  ;VA;United States;12/26/06 14:23;2/21/09 4:50;38.80472;-77.04722
1/26/09 6:38;Product1;1200;Visa;Christian;Alexandria                  ;VA;United States;1/25/09 10:13;2/26/09 7:16;38.80472;-77.04722
1/26/09 15:42;Product1;1200;Visa;Patricia;Allen                       ;TX;United States;1/26/09 14:38;2/12/09 22:41;33.10306;-96.67028
1/4/09 7:54;Product1;1200;Visa;Gerhard;Alliston;Ontario;Canada;10/21/05 21:49;1/14/09 13:06;44.15;-79.8666667
1/24/09 18:02;Product1;1200;Visa;Helen;Aloma                       ;FL;United States;11/29/05 17:33;2/7/09 6:03;28.60056;-81.30667
1/9/09 18:52;Product1;1200;Visa;David;Alpharetta                  ;GA;United States;11/25/08 7:56;1/19/09 6:12;34.07528;-84.29417
1/17/09 20:33;Product1;1200;Amex;BURCAK;Alpharetta                  ;GA;United States;1/9/09 11:26;2/17/09 12:31;34.07528;-84.29417
1/16/09 19:13;Product1;1200;Diners;Mary;Alpharetta                  ;GA;United States;12/26/08 9:28;2/20/09 13:54;34.07528;-84.29417
